data,casos_acumulados,casos_novos,obitos_acumulados,obitos_novos,rolling_mean_casos_novos,rolling_mean_casos,rolling_mean_obitos_acumulados,rolling_mean_obitos_novos,casos_ativos
2020-02-26,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,1,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-29,2,1.0,0,0.0,0.3333333333333333,1.3333333333333333,0.0,0.0,0.0
2020-03-01,2,0.0,0,0.0,0.3333333333333333,1.6666666666666667,0.0,0.0,0.0
2020-03-02,2,0.0,0,0.0,0.3333333333333333,2.0,0.0,0.0,0.0
2020-03-03,2,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-04,4,2.0,0,0.0,0.6666666666666666,2.6666666666666665,0.0,0.0,0.0
2020-03-05,4,0.0,0,0.0,0.6666666666666666,3.3333333333333335,0.0,0.0,0.0
2020-03-06,13,9.0,0,0.0,3.6666666666666665,7.0,0.0,0.0,0.0
2020-03-07,13,0.0,0,0.0,3.0,10.0,0.0,0.0,12.0
2020-03-08,20,7.0,0,0.0,5.333333333333333,15.333333333333334,0.0,0.0,19.0
2020-03-09,25,5.0,0,0.0,4.0,19.333333333333332,0.0,0.0,24.0
2020-03-10,31,6.0,0,0.0,6.0,25.333333333333332,0.0,0.0,29.0
2020-03-11,38,7.0,0,0.0,6.0,31.333333333333332,0.0,0.0,36.0
2020-03-12,52,14.0,0,0.0,9.0,40.333333333333336,0.0,0.0,50.0
2020-03-13,151,99.0,0,0.0,40.0,80.33333333333333,0.0,0.0,149.0
2020-03-14,151,0.0,0,0.0,37.666666666666664,118.0,0.0,0.0,147.0
2020-03-15,162,11.0,0,0.0,36.666666666666664,154.66666666666666,0.0,0.0,158.0
2020-03-16,200,38.0,0,0.0,16.333333333333332,171.0,0.0,0.0,187.0
2020-03-17,321,121.0,1,1.0,56.666666666666664,227.66666666666666,0.3333333333333333,0.3333333333333333,308.0
2020-03-18,372,51.0,3,2.0,70.0,297.6666666666667,1.3333333333333333,1.0,352.0
2020-03-19,621,249.0,6,3.0,140.33333333333334,438.0,3.3333333333333335,2.0,596.0
2020-03-20,793,172.0,11,5.0,157.33333333333334,595.3333333333334,6.666666666666667,3.3333333333333335,762.0
2020-03-21,1021,228.0,15,4.0,216.33333333333334,811.6666666666666,10.666666666666666,4.0,983.0
2020-03-22,1546,525.0,25,10.0,308.3333333333333,1120.0,17.0,6.333333333333333,1494.0
2020-03-23,1924,378.0,34,9.0,377.0,1497.0,24.666666666666668,7.666666666666667,1773.0
2020-03-24,2247,323.0,46,12.0,408.6666666666667,1905.6666666666667,35.0,10.333333333333334,2096.0
2020-03-25,2554,307.0,59,13.0,336.0,2241.6666666666665,46.333333333333336,11.333333333333334,2392.0
2020-03-26,2985,431.0,77,18.0,353.6666666666667,2595.3333333333335,60.666666666666664,14.333333333333334,2785.0
2020-03-27,3417,432.0,92,15.0,390.0,2985.3333333333335,76.0,15.333333333333334,3096.0
2020-03-28,3904,487.0,111,19.0,450.0,3435.3333333333335,93.33333333333333,17.333333333333332,3532.0
2020-03-29,4256,352.0,136,25.0,423.6666666666667,3859.0,113.0,19.666666666666668,3635.0
2020-03-30,4579,323.0,159,23.0,387.3333333333333,4246.333333333333,135.33333333333334,22.333333333333332,3786.0
2020-03-31,5717,1138.0,201,42.0,604.3333333333334,4850.666666666667,165.33333333333334,30.0,4696.0
2020-04-01,6836,1119.0,240,39.0,860.0,5710.666666666667,200.0,34.666666666666664,5290.0
2020-04-02,8044,1208.0,324,84.0,1155.0,6865.666666666667,255.0,55.0,6120.0
2020-04-03,9056,1012.0,359,35.0,1113.0,7978.666666666667,307.6666666666667,52.666666666666664,6809.0
2020-04-04,10360,1304.0,445,86.0,1174.6666666666667,9153.333333333334,376.0,68.33333333333333,7806.0
2020-04-05,11130,770.0,486,41.0,1028.6666666666667,10182.0,430.0,54.0,8145.0
2020-04-06,12161,1031.0,564,78.0,1035.0,11217.0,498.3333333333333,68.33333333333333,8744.0
